GeneID	Symbol	Description	log2(fold change)(SkinLesion-PsA vs HealthySkin)	-log10(Pvalue)(SkinLesion-PsA vs HealthySkin)
3263	HPX	hemopexin	-1.729	6.267
1200	TPP1	tripeptidyl peptidase 1	0.526	3.672
387751	GVINP1	GTPase, very large interferon inducible pseudogene 1	1.758	10.779
7762	ZNF215	zinc finger protein 215	1.033	1.466
7761	ZNF214	zinc finger protein 214	-0.634	1.41
143425	SYT9	synaptotagmin 9	-2.046	4.895
283298	OLFML1	olfactomedin like 1	-0.709	1.861
8495	PPFIBP2	PPFIA binding protein 2	0.538	7.84
51700	CYB5R2	cytochrome b5 reductase 2	0.66	2.513
341277	OVCH2	ovochymase 2	-0.732	1.513
105376533	LOC105376533	uncharacterized LOC105376533	-0.851	2.398
7275	TUB	TUB bipartite transcription factor	-0.697	5.803
79608	RIC3	RIC3 acetylcholine receptor chaperone	-1.152	7.413
6764	DENND2B	DENN domain containing 2B	0.911	4.913
493900	TMEM9B-AS1	TMEM9B antisense RNA 1	-0.845	3.368
105376541	NRIP3-DT	NRIP3 divergent transcript	0.815	2.087
57758	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2	0.618	2.056
7465	WEE1	WEE1 G2 checkpoint kinase	-1.333	8.038
105376544	ADM-DT	ADM divergent transcript	0.751	1.333
272	AMPD3	adenosine monophosphate deaminase 3	0.755	6.037
10894	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	-1.88	7.782
10335	IRAG1	inositol 1,4,5-triphosphate receptor associated 1	-0.629	2.021
9646	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	0.66	7.92
1982	EIF4G2	eukaryotic translation initiation factor 4 gamma 2	0.672	6.954
729013	ZBED5-AS1	ZBED5 antisense RNA 1	-0.765	5.453
374378	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	0.667	4.499
283106	CSNK2A3	casein kinase 2 alpha 3	0.652	3.481
9645	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	0.713	3.182
100506305	LINC00958	long intergenic non-protein coding RNA 958	1.273	4.522
644943	RASSF10	Ras association domain family member 10	0.885	4.838
5140	PDE3B	phosphodiesterase 3B	0.951	2.592
55553	SOX6	SRY-box transcription factor 6	-0.794	2.873
26822	SNORD14A	small nucleolar RNA, C/D box 14A	-0.826	1.386
85388	SNORD14B	small nucleolar RNA, C/D box 14B	-0.992	2.162
26297	SERGEF	secretion regulating guanine nucleotide exchange factor	-0.684	5.904
7166	TPH1	tryptophan hydroxylase 1	-1.292	4.959
100528017	SAA2-SAA4	SAA2-SAA4 readthrough	2.682	3.743
6289	SAA2	serum amyloid A2	3.103	5.507
6288	SAA1	serum amyloid A1	1.852	1.627
11234	HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	0.698	6.434
3939	LDHA	lactate dehydrogenase A	0.871	11.735
144108	SPTY2D1	SPT2 chromatin protein domain containing 1	0.762	5.463
144110	TMEM86A	transmembrane protein 86A	0.998	3.779
84867	PTPN5	protein tyrosine phosphatase non-receptor type 5	-2.319	8.713
54503	ZDHHC13	zinc finger DHHC-type palmitoyltransferase 13	0.751	10.784
105376580	CSRP3-AS1	CSRP3 and E2F8 antisense RNA 1	-0.855	1.583
79733	E2F8	E2F transcription factor 8	1.357	7.771
89797	NAV2	neuron navigator 2	0.715	3.236
10196	PRMT3	protein arginine methyltransferase 3	0.604	8.339
203859	ANO5	anoctamin 5	-0.851	1.392
2620	GAS2	growth arrest specific 2	-1.834	10.324
258010	SVIP	small VCP interacting protein	-1.522	15.856
338645	LUZP2	leucine zipper protein 2	3.536	28.65
63982	ANO3	anoctamin 3	-0.741	3.535
387758	FIBIN	fin bud initiation factor homolog	-1.817	8.085
8424	BBOX1	gamma-butyrobetaine hydroxylase 1	-0.586	3.175
105376671	LGR4-AS1	LGR4 antisense RNA 1	-0.739	1.332
497258	BDNF-AS	BDNF antisense RNA	-2.145	28.428
81930	KIF18A	kinesin family member 18A	2.042	11.819
120534	ARL14EP	ADP ribosylation factor like GTPase 14 effector protein	-0.501	9.076
744	MPPED2	metallophosphoesterase domain containing 2	-1.463	4.612
196294	IMMP1L	inner mitochondrial membrane peptidase subunit 1	-0.586	5.939
5080	PAX6	paired box 6	-0.569	2.355
79056	PRRG4	proline rich and Gla domain 4	1.614	29.444
79832	QSER1	glutamine and serine rich 1	0.681	4.147
105376615	LOC105376615	uncharacterized LOC105376615	0.922	2.458
91614	DEPDC7	DEP domain containing 7	0.728	4.376
10114	HIPK3	homeodomain interacting protein kinase 3	0.589	2.75
25758	KIAA1549L	KIAA1549 like	-0.834	3.603
105376617	LOC105376617	uncharacterized LOC105376617	-1.315	8.425
966	CD59	CD59 molecule (CD59 blood group)	-0.635	5.504
101929918	LOC101929918	uncharacterized LOC101929918	1.072	4.083
4076	CAPRIN1	cell cycle associated protein 1	0.565	5.788
25841	ABTB2	ankyrin repeat and BTB domain containing 2	-0.741	6.577
102723539	LOC102723539		-0.897	3.038
847	CAT	catalase	-1.105	21.86
2001	ELF5	E74 like ETS transcription factor 5	0.822	2.619
26298	EHF	ETS homologous factor	2.528	43.359
102723568	LOC102723568	uncharacterized LOC102723568	3.034	12.553
105376624	LOC105376624	uncharacterized LOC105376624	-0.956	2.38
6506	SLC1A2	solute carrier family 1 member 2	-1.22	5.184
25891	PAMR1	peptidase domain containing associated with muscle regeneration 1	-2.679	45.317
79899	PRR5L	proline rich 5 like	0.861	4.069
119710	IFTAP	intraflagellar transport associated protein	-0.913	4.752
57689	LRRC4C	leucine rich repeat containing 4C	-1.322	3.016
84680	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	-0.708	1.614
60529	ALX4	ALX homeobox 4	-1.477	2.99
3732	CD82	CD82 molecule	1.057	11.921
9537	TP53I11	tumor protein p53 inducible protein 11	-0.573	2.754
57586	SYT13	synaptotagmin 13	-1.297	1.59
399886	LINC02687	long intergenic non-protein coding RNA 2687	4.008	11.428
8534	CHST1	carbohydrate sulfotransferase 1	2.698	23.151
55343	SLC35C1	solute carrier family 35 member C1	0.717	16.676
1408	CRY2	cryptochrome circadian regulator 2	-1.842	22.879
9479	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	-1.36	12.894
120071	LARGE2	LARGE xylosyl- and glucuronyltransferase 2	-0.517	3.987
90993	CREB3L1	cAMP responsive element binding protein 3 like 1	-0.773	1.865
4192	MDK	midkine	-0.932	3.199
1132	CHRM4	cholinergic receptor muscarinic 4	-4.281	44.001
283254	HARBI1	harbinger transposase derived 1	0.509	3.572
392	ARHGAP1	Rho GTPase activating protein 1	0.636	7.831
9793	CKAP5	cytoskeleton associated protein 5	0.878	7.56
4038	LRP4	LDL receptor related protein 4	-1.007	2.991
79096	CSTPP1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1	-0.815	15.832
107984329	LOC107984329		-0.698	4.277
10062	NR1H3	nuclear receptor subfamily 1 group H member 3	-1.214	6.15
399888	FAM180B	family with sequence similarity 180 member B	-1.7	6.998
114900	C1QTNF4	C1q and TNF related 4	-1.185	3.005
79841	AGBL2	AGBL carboxypeptidase 2	-1.002	2.993
5795	PTPRJ	protein tyrosine phosphatase receptor type J	0.689	6.479
2346	FOLH1	folate hydrolase 1	1.269	6.35
219527	LRRC55	leucine rich repeat containing 55	5.055	35.012
29015	SLC43A3	solute carrier family 43 member 3	0.586	2.846
8501	SLC43A1	solute carrier family 43 member 1	-0.754	2.476
219537	SMTNL1	smoothelin like 1	1.706	3.786
9246	UBE2L6	ubiquitin conjugating enzyme E2 L6	1.782	17.928
219539	YPEL4	yippee like 4	-1.117	4.705
25921	ZDHHC5	zinc finger DHHC-type palmitoyltransferase 5	0.525	6.245
386607	ZFP91-CNTF	ZFP91-CNTF readthrough (NMD candidate)	0.763	1.325
92292	GLYATL1	glycine-N-acyltransferase like 1	-1.212	1.955
105369315	LOC105369315	uncharacterized LOC105369315	-1.106	2.299
374393	FAM111B	FAM111 trypsin like peptidase B	2.238	14.571
23220	DTX4	deltex E3 ubiquitin ligase 4	-0.95	2.483
219972	MPEG1	macrophage expressed 1	0.923	3.233
219988	PATL1	PAT1 homolog 1, processing body mRNA decay factor	0.897	7.543
6809	STX3	syntaxin 3	0.615	11.825
6947	TCN1	transcobalamin 1	8.328	129.458
58475	MS4A7	membrane spanning 4-domains A7	0.832	1.919
54972	TMEM132A	transmembrane protein 132A	1.177	4.856
51296	SLC15A3	solute carrier family 15 member 3	0.773	2.895
923	CD6	CD6 molecule	1.828	13.995
921	CD5	CD5 molecule	1.571	11.04
51259	TMEM216	transmembrane protein 216	-0.636	4.188
220004	PPP1R32	protein phosphatase 1 regulatory subunit 32	-1.597	8.64
390205	LRRC10B	leucine rich repeat containing 10B	-1.89	3.115
9066	SYT7	synaptotagmin 7	-0.599	1.817
2237	FEN1	flap structure-specific endonuclease 1	0.993	5.528
3992	FADS1	fatty acid desaturase 1	-3.507	4.947
9415	FADS2	fatty acid desaturase 2	-5.423	8.476
3995	FADS3	fatty acid desaturase 3	-1.108	5.669
5866	RAB3IL1	RAB3A interacting protein like 1	-0.639	2.071
107984334	LOC107984334	uncharacterized LOC107984334	-0.594	3.312
3619	INCENP	inner centromere protein	0.838	5.453
4246	SCGB2A1	secretoglobin family 2A member 1	-2.532	4.716
10647	SCGB1D2	secretoglobin family 1D member 2	-2.953	3.746
4250	SCGB2A2	secretoglobin family 2A member 2	-2.685	2.61
80150	ASRGL1	asparaginase and isoaspartyl peptidase 1	-0.79	2.309
102723765	LOC102723765	uncharacterized LOC102723765	-1.347	2.564
9219	MTA2	metastasis associated 1 family member 2	0.611	10.43
256364	EML3	EMAP like 3	0.571	6.538
26229	B3GAT3	beta-1,3-glucuronyltransferase 3	-0.898	11.475
221091	LRRN4CL	LRRN4 C-terminal like	-0.815	4.059
6520	SLC3A2	solute carrier family 3 member 2	0.57	4.757
1128	CHRM1	cholinergic receptor muscarinic 1	-2.466	25.659
105369333	LOC105369333	uncharacterized LOC105369333	-2.061	8.438
117245	PLAAT5	phospholipase A and acyltransferase 5	-1.66	3.292
11145	PLAAT3	phospholipase A and acyltransferase 3	-1.484	5.449
283248	RCOR2	REST corepressor 2	-0.859	2.487
28992	MACROD1	mono-ADP ribosylhydrolase 1	-0.9	9.477
101927673	LOC101927673		-1.319	2.918
23769	FLRT1	fibronectin leucine rich transmembrane protein 1	-1.316	3.39
10963	STIP1	stress induced phosphoprotein 1	0.509	2.665
83706	FERMT3	FERM domain containing kindlin 3	0.699	2.599
3338	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4	-0.628	4.085
7423	VEGFB	vascular endothelial growth factor B	-0.509	3.896
105369340	PPP1R14B-AS1	PPP1R14B antisense RNA 1	0.723	4.858
5331	PLCB3	phospholipase C beta 3	0.596	6.811
106780802	KCNK4-TEX40	KCNK4-TEX40 readthrough	-0.964	2.688
2101	ESRRA	estrogen related receptor alpha	0.547	4.644
102723878	LOC102723878	uncharacterized LOC102723878	0.833	1.399
283234	CCDC88B	coiled-coil domain containing 88B	1.357	7.991
8986	RPS6KA4	ribosomal protein S6 kinase A4	1.244	30.773
5837	PYGM	glycogen phosphorylase, muscle associated	-1.616	8.51
113218486	MIR10392	microRNA 10392	0.723	3.097
23130	ATG2A	autophagy related 2A	0.632	5.314
116071	BATF2	basic leucine zipper ATF-like transcription factor 2	3.71	17.7
10004	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	-0.502	1.964
113130	CDCA5	cell division cycle associated 5	1.766	21.614
741	ZNHIT2	zinc finger HIT-type containing 2	0.676	5.076
728975	CAPN1-AS1	CAPN1 antisense RNA 1	0.826	5.633
823	CAPN1	calpain 1	0.998	18.429
23649	POLA2	DNA polymerase alpha 2, accessory subunit	0.745	4.908
83786	FRMD8	FERM domain containing 8	1.35	21.701
107984338	LOC107984338		-0.576	1.506
283131	NEAT1	nuclear paraspeckle assembly transcript 1	-0.726	2.225
693197	MIR612	microRNA 612	0.862	1.364
378938	MALAT1	metastasis associated lung adenocarcinoma transcript 1	-0.621	1.817
109136579	TALAM1	TALAM1 transcript, MALAT1 antisense RNA	-0.561	1.626
109136578	MASCRNA	MALAT1-associated small cytoplasmic RNA	-1.434	3.321
4054	LTBP3	latent transforming growth factor beta binding protein 3	-0.539	5.341
254102	EHBP1L1	EH domain binding protein 1 like 1	1.054	10.21
399909	PCNX3	pecanex 3	0.568	3.709
105369347	RELA-DT	RELA divergent transcript	-0.619	3.058
91056	AP5B1	adaptor related protein complex 5 subunit beta 1	0.723	5.422
5017	OVOL1	ovo like transcriptional repressor 1	1.167	5.938
254122	SNX32	sorting nexin 32	0.617	5.601
1072	CFL1	cofilin 1	0.631	6.375
30008	EFEMP2	EGF containing fibulin extracellular matrix protein 2	-0.783	2.778
11007	CCDC85B	coiled-coil domain containing 85B	-0.525	2.215
8061	FOSL1	FOS like 1, AP-1 transcription factor subunit	3.191	15.294
83638	C11orf68	chromosome 11 open reading frame 68	-0.693	7.556
1474	CST6	cystatin E/M	-2.686	12.434
117144	CATSPER1	cation channel sperm associated 1	-1.108	2.719
55690	PACS1	phosphofurin acidic cluster sorting protein 1	0.776	9.382
102724064	B4GAT1-DT	B4GAT1 divergent transcript	-0.61	2.82
101928069	DPP3-DT	DPP3 divergent transcript	-0.783	3.806
10072	DPP3	dipeptidyl peptidase 3	0.562	3.554
8722	CTSF	cathepsin F	-0.99	8.392
79703	C11orf80	chromosome 11 open reading frame 80	-1.028	20.643
5091	PC	pyruvate carboxylase	0.764	1.73
91683	SYT12	synaptotagmin 12	1.257	4.786
107984341	LOC107984341	uncharacterized LOC107984341	1.119	2.237
57571	CARNS1	carnosine synthase 1	-1.203	6.911
6199	RPS6KB2	ribosomal protein S6 kinase B2	0.665	7.77
5790	PTPRCAP	protein tyrosine phosphatase receptor type C associated protein	0.975	4.792
57010	CABP4	calcium binding protein 4	-0.685	1.704
9600	PITPNM1	phosphatidylinositol transfer protein membrane associated 1	1.067	15.151
10263	CDK2AP2	cyclin dependent kinase 2 associated protein 2	0.639	3.163
2950	GSTP1	glutathione S-transferase pi 1	0.941	14.488
222	ALDH3B2	aldehyde dehydrogenase 3 family member B2	0.874	3.935
105369360	LINC02754	long intergenic non-protein coding RNA 2754	-1.262	3.057
112268076	LOC112268076	translation initiation factor IF-2-like	-1.056	2.427
100616403	MIR4691	microRNA 4691	-0.788	2.022
1119	CHKA	choline kinase alpha	-0.676	3.909
51083	GAL	galanin and GMAP prepropeptide	-5.436	8.692
105369364	LINC02701	long intergenic non-protein coding RNA 2701	-1.53	5.243
107984345	SMIM38	small integral membrane protein 38	-1.103	3.156
26579	MYEOV	myeloma overexpressed	-3.194	16.641
105369370	LOC105369370	uncharacterized LOC105369370	-3.604	28.2
105379407	LINC02747	long intergenic non-protein coding RNA 2747	-3.779	25.71
595	CCND1	cyclin D1	-1.169	10.15
101928473	LOC101928473	uncharacterized LOC101928473	-1.919	5.268
285407	ALG1L9P	ALG1 like 9, pseudogene	-0.555	1.549
2348	FOLR1	folate receptor alpha	-2.391	6.549
3636	INPPL1	inositol polyphosphate phosphatase like 1	-0.602	3.495
105369380	LOC105369380		-0.744	1.924
107984421	LOC107984421	uncharacterized LOC107984421	-0.786	2.6
89849	ATG16L2	autophagy related 16 like 2	-0.942	4.384
5029	P2RY2	purinergic receptor P2Y2	1.123	6.067
5031	P2RY6	pyrimidinergic receptor P2Y6	0.883	2.029
9828	ARHGEF17	Rho guanine nucleotide exchange factor 17	-0.501	2.158
84957	RELT	RELT TNF receptor	1.081	11.641
58473	PLEKHB1	pleckstrin homology domain containing B1	-1.893	11.157
5870	RAB6A	RAB6A, member RAS oncogene family	0.593	9.02
254225	RNF169	ring finger protein 169	0.522	2.209
10825	NEU3	neuraminidase 3	-0.536	2.665
11309	SLCO2B1	solute carrier organic anion transporter family member 2B1	0.624	2.106
408	ARRB1	arrestin beta 1	0.737	10.071
283212	KLHL35	kelch like family member 35	-1.599	13.788
81544	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	-0.755	4.108
4135	MAP6	microtubule associated protein 6	-2.196	13.345
80168	MOGAT2	monoacylglycerol O-acyltransferase 2	-4.659	6.478
84649	DGAT2	diacylglycerol O-acyltransferase 2	-0.817	3.588
100506127	GVQW3	GVQW motif containing 3	-0.826	2.646
55331	ACER3	alkaline ceramidase 3	0.523	3.05
4647	MYO7A	myosin VIIA	1.196	4.58
282679	AQP11	aquaporin 11	-0.879	2.481
28971	AAMDC	adipogenesis associated Mth938 domain containing	-1.659	18.021
65987	KCTD14	potassium channel tetramerization domain containing 14	-0.951	2.338
7069	THRSP	thyroid hormone responsive	-5.397	9.92
100289388	KCTD21-AS1	KCTD21 antisense RNA 1	0.889	3.926
283219	KCTD21	potassium channel tetramerization domain containing 21	1.135	8.436
57558	USP35	ubiquitin specific peptidase 35	0.578	3.415
101928865	LINC02728	long intergenic non-protein coding RNA 2728	-1.345	4.357
220382	FAM181B	family with sequence similarity 181 member B	1.073	2.032
220042	DDIAS	DNA damage induced apoptosis suppressor	1.507	13.402
106736475	PCF11-AS1	PCF11 antisense RNA 1	-0.816	3.626
1740	DLG2	discs large MAGUK scaffold protein 2	-0.892	2.673
58487	CREBZF	CREB/ATF bZIP transcription factor	-0.535	4.004
60494	CCDC81	coiled-coil domain containing 81	-0.861	2.114
10873	ME3	malic enzyme 3	-1.211	6.041
107984427	ME3-DT	ME3 divergent transcript	-1.101	2.234
11098	PRSS23	serine protease 23	0.681	2.143
23682	RAB38	RAB38, member RAS oncogene family	1.26	15.208
1075	CTSC	cathepsin C	1.823	36.15
219595	FOLH1B	folate hydrolase 1B (pseudogene)	1.272	3.216
10003	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	-0.769	2.541
120114	FAT3	FAT atypical cadherin 3	-1.129	2.374
120103	SLC36A4	solute carrier family 36 member 4	0.8	6.416
619383	SCARNA9	small Cajal body-specific RNA 9	-0.841	2.369
677822	SNORA40	small nucleolar RNA, H/ACA box 40	0.756	3.441
387804	VSTM5	V-set and transmembrane domain containing 5	-0.957	1.919
341208	HEPHL1	hephaestin like 1	6.41	41.986
24145	PANX1	pannexin 1	1.372	10.273
105369438	PIWIL4-AS1	PIWIL4 antisense RNA 1	0.641	1.567
143689	PIWIL4	piwi like RNA-mediated gene silencing 4	-0.562	1.536
154810	AMOTL1	angiomotin like 1	0.849	6.522
100129203	LOC100129203	uncharacterized LOC100129203	-1.104	3.182
84441	MAML2	mastermind like transcriptional coactivator 2	-0.959	5.115
100128386	ARHGAP42-AS1	ARHGAP42 antisense RNA 1	-0.779	1.96
5241	PGR	progesterone receptor	-0.807	2.618
7225	TRPC6	transient receptor potential cation channel subfamily C member 6	-0.893	2.744
253935	ANGPTL5	angiopoietin like 5	-1.387	2.214
57562	CEP126	centrosomal protein 126	-1.204	25.653
85016	CFAP300	cilia and flagella associated protein 300	-1.031	2.628
330	BIRC3	baculoviral IAP repeat containing 3	1.487	8.869
114908	TMEM123	transmembrane protein 123	1.015	14.854
101928424	TMEM123-DT	TMEM123 divergent transcript	0.56	2.172
4316	MMP7	matrix metallopeptidase 7	-1.695	2.646
64066	MMP27	matrix metallopeptidase 27	-0.821	2.065
4314	MMP3	matrix metallopeptidase 3	2.836	2.43
4321	MMP12	matrix metallopeptidase 12	5.343	8.364
80310	PDGFD	platelet derived growth factor D	-1.022	2.855
100506742	CASP12	caspase 12 (gene/pseudogene)	-1.195	2.218
643733	CASP4LP	caspase 4 like, pseudogene	-1.386	6.209
837	CASP4	caspase 4	0.795	7.797
838	CASP5	caspase 5	2.468	9.897
440068	CARD17P	caspase recruitment domain family member 17, pseudogene	1.338	6.175
2893	GRIA4	glutamate ionotropic receptor AMPA type subunit 4	-2.472	9.574
143879	KBTBD3	kelch repeat and BTB domain containing 3	-0.661	4.102
105369477	LOC105369477	uncharacterized LOC105369477	-0.738	4.212
143884	CWF19L2	CWF19 like cell cycle control factor 2	-0.819	10.563
55531	ELMOD1	ELMO domain containing 1	-1.911	7.83
38	ACAT1	acetyl-CoA acetyltransferase 1	-0.873	11.684
85463	ZC3H12C	zinc finger CCCH-type containing 12C	1.405	11.409
57569	ARHGAP20	Rho GTPase activating protein 20	-0.667	1.596
5450	POU2AF1	POU class 2 homeobox associating factor 1	1.628	2.509
5519	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	0.518	3.671
64776	CFAP68	cilia and flagella associated protein 68	-0.742	4.728
1410	CRYAB	crystallin alpha B	-1.811	19.062
3316	HSPB2	heat shock protein family B (small) member 2	-1.448	6.043
100528019	HSPB2-C11orf52	HSPB2-C11orf52 readthrough (NMD candidate)	-1.705	14.116
91894	C11orf52	chromosome 11 open reading frame 52	-1.854	15.53
85458	DIXDC1	DIX domain containing 1	-0.92	6.653
1737	DLAT	dihydrolipoamide S-acetyltransferase	0.613	4.119
3606	IL18	interleukin 18	-0.663	4.604
283140	LINC02762	long intergenic non-protein coding RNA 2762	-0.976	2.218
107984387	LOC107984387		-1.371	7.781
4684	NCAM1	neural cell adhesion molecule 1	-1.571	12.293
255239	ANKK1	ankyrin repeat and kinase domain containing 1	0.768	3.325
80975	TMPRSS5	transmembrane serine protease 5	-1.396	6.805
57646	USP28	ubiquitin specific peptidase 28	0.702	10.486
3359	HTR3A	5-hydroxytryptamine receptor 3A	3.696	16.816
7704	ZBTB16	zinc finger and BTB domain containing 16	-2.06	3.442
54494	C11orf71	chromosome 11 open reading frame 71	-0.843	7.044
100652768	LOC100652768	uncharacterized LOC100652768	-0.606	3.576
6876	TAGLN	transgelin	-1.142	3.944
100533181	FXYD6-FXYD2	FXYD6-FXYD2 readthrough	-1.642	8.429
53826	FXYD6	FXYD domain containing ion transport regulator 6	-1.837	13.247
3587	IL10RA	interleukin 10 receptor subunit alpha	1.082	5.639
100526771	SMIM35	small integral membrane protein 35	1.073	5.026
56649	TMPRSS4	transmembrane serine protease 4	2.528	43.083
6330	SCN4B	sodium voltage-gated channel beta subunit 4	0.913	3.637
120425	JAML	junction adhesion molecule like	0.939	3.215
