GeneID	Symbol	Description	log2(fold change)(AkS vs lesion-PsA)	-log10(Pvalue)(AkS vs lesion-PsA)
23268	DNMBP	dynamin binding protein	0.576	1.858
55280	CWF19L1	CWF19 like cell cycle control factor 1	-0.632	2.93
90271	OLMALINC	oligodendrocyte maturation-associated long intergenic non-coding RNA	0.682	1.953
4714	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	-0.701	1.4
57715	SEMA4G	semaphorin 4G	0.536	1.868
79955	PDZD7	PDZ domain containing 7	1.302	8.552
81855	SFXN3	sideroflexin 3	0.733	3.767
81621	KAZALD1	Kazal type serine peptidase inhibitor domain 1	0.77	3.253
25911	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)	-0.694	1.632
6468	FBXW4	F-box and WD repeat domain containing 4	0.564	3.336
10360	NPM3	nucleophosmin/nucleoplasmin 3	-1.294	3.253
30819	KCNIP2	potassium voltage-gated channel interacting protein 2	1.371	1.79
8861	LDB1	LIM domain binding 1	0.801	2.69
9221	NOLC1	nucleolar and coiled-body phosphoprotein 1	-0.55	2.681
105378460	LOC105378460	uncharacterized LOC105378460	0.506	2.004
57412	AS3MT	arsenite methyltransferase	0.919	2.67
9118	INA	internexin neuronal intermediate filament protein alpha	-3.476	20.068
100505839	SH3PXD2A-AS1	SH3PXD2A antisense RNA 1	-2.38	20.502
1308	COL17A1	collagen type XVII alpha 1 chain	0.8	2.795
100126326	MIR936	microRNA 936	0.719	1.53
9446	GSTO1	glutathione S-transferase omega 1	-0.978	1.601
100505869	CFAP58-DT	CFAP58 divergent transcript	-0.758	1.707
114815	SORCS1	sortilin related VPS10 domain containing receptor 1	1.343	4.881
282996	RBM20	RNA binding motif protein 20	1.324	2.948
27250	PDCD4	programmed cell death 4	0.771	5.284
100616113	MIR4680	microRNA 4680	0.747	3.792
103344931	LOC103344931	uncharacterized LOC103344931	0.84	2.292
6934	TCF7L2	transcription factor 7 like 2	0.659	3.611
840	CASP7	caspase 7	-1.206	6.575
153	ADRB1	adrenoceptor beta 1	1.587	2.508
340706	VWA2	von Willebrand factor A domain containing 2	0.795	3.056
84632	AFAP1L2	actin filament associated protein 1 like 2	-1.15	5.995
2674	GFRA1	GDNF family receptor alpha 1	1.384	7.478
105378499	HSPA12A-AS1	HSPA12A antisense RNA 1	1.044	3.319
259217	HSPA12A	heat shock protein family A (Hsp70) member 12A	0.953	5.809
6571	SLC18A2	solute carrier family 18 member A2	0.707	3.658
196047	EMX2OS	EMX2 opposite strand/antisense RNA	0.995	4.409
2018	EMX2	empty spiracles homeobox 2	1.012	4.473
404636	DENND10	DENN domain containing 10	-0.548	2.439
105378512	LOC105378512	uncharacterized LOC105378512	-0.512	1.407
9531	BAG3	BAG cochaperone 3	-0.616	2.219
79892	MCMBP	minichromosome maintenance complex binding protein	-0.572	4.034
196051	PLPP4	phospholipid phosphatase 4	1.761	7.11
10579	TACC2	transforming acidic coiled-coil containing protein 2	0.767	3.557
118663	BTBD16	BTB domain containing 16	2.206	5.324
36	ACADSB	acyl-CoA dehydrogenase short/branched chain	0.659	1.987
101927983	EDRF1-AS1	EDRF1 antisense RNA 1	0.641	1.338
56647	BCCIP	BRCA2 and CDKN1A interacting protein	-0.584	2.335
55760	DHX32	DEAH-box helicase 32 (putative)	-0.567	4.051
118611	C10orf90	chromosome 10 open reading frame 90	1.447	2.522
1793	DOCK1	dedicator of cytokinesis 1	0.529	2.085
642938	INSYN2A	inhibitory synaptic factor 2A	1.343	1.725
399823	FOXI2	forkhead box I2	1.481	4.185
5791	PTPRE	protein tyrosine phosphatase receptor type E	-0.731	5.239
4288	MKI67	marker of proliferation Ki-67	-0.911	2.246
107984280	LINC02666	long intergenic non-protein coding RNA 2666	1.462	2.401
253738	EBF3	EBF transcription factor 3	0.619	1.446
102724883	LOC102724883	uncharacterized LOC102724883	1.229	3.515
10539	GLRX3	glutaredoxin 3	-1.275	3.254
664	BNIP3	BCL2 interacting protein 3	-0.636	2.157
282973	JAKMIP3	Janus kinase and microtubule interacting protein 3	1.049	2.241
80313	LRRC27	leucine rich repeat containing 27	0.531	1.767
3632	INPP5A	inositol polyphosphate-5-phosphatase A	0.572	5.239
84504	NKX6-2	NK6 homeobox 2	0.712	5.009
118472	ZNF511	zinc finger protein 511	-0.615	1.725
92170	MTG1	mitochondrial ribosome associated GTPase 1	-0.691	5.602
619207	SCART1	scavenger receptor family member expressed on T cells 1	0.906	2.183
105378576	LOC105378576		0.875	1.728
107984284	LOC107984284	replaced by ID 105378575	-0.949	1.744
1571	CYP2E1	cytochrome P450 family 2 subfamily E member 1	-0.9	2.513
5719	PSMD13	proteasome 26S subunit, non-ATPase 13	-0.667	1.6
8519	IFITM1	interferon induced transmembrane protein 1	-1.03	5.973
10410	IFITM3	interferon induced transmembrane protein 3	-0.991	7.28
338707	B4GALNT4	beta-1,4-N-acetyl-galactosaminyltransferase 4	1.372	2.979
11187	PKP3	plakophilin 3	-1.013	3.82
105376506	LOC105376506	uncharacterized LOC105376506	0.821	1.323
256329	LMNTD2	lamin tail domain containing 2	1.176	3.197
692247	LMNTD2-AS1	LMNTD2 antisense RNA 1	1.15	1.876
143666	LOC143666	uncharacterized LOC143666	0.909	3.521
3665	IRF7	interferon regulatory factor 7	-2.071	11.714
283232	TMEM80	transmembrane protein 80	0.665	3.464
171391	GATD1-DT	GATD1 divergent transcript	0.677	2.259
283229	CRACR2B	calcium release activated channel regulator 2B	1.55	2.663
5441	POLR2L	RNA polymerase II, I and III subunit L	-0.698	1.45
54472	TOLLIP	toll interacting protein	-0.526	2.705
105376512	LOC105376512	replaced by ID 54472	-0.869	1.805
255512	TOLLIP-DT	TOLLIP divergent transcript	0.62	1.308
338651	KRTAP5-AS1	KRTAP5-1/KRTAP5-2 antisense RNA 1	-1.924	2.598
402778	IFITM10	interferon induced transmembrane protein 10	-1.16	4.758
1509	CTSD	cathepsin D	-0.523	1.822
90019	SYT8	synaptotagmin 8	2.566	13.851
7136	TNNI2	troponin I2, fast skeletal type	2.258	8.317
4046	LSP1	lymphocyte specific protein 1	0.883	4.726
102465993	MIR7847	microRNA 7847	0.593	1.908
7140	TNNT3	troponin T3, fast skeletal type	1.932	7.611
10984	KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1	1.118	2.418
5003	SLC22A18AS	SLC22A18 antisense RNA	0.723	1.93
5002	SLC22A18	solute carrier family 22 member 18	0.86	3.293
7262	PHLDA2	pleckstrin homology like domain family A member 2	-1.032	3.066
100852407	CARS1-AS1	CARS1 antisense RNA 1	-0.545	1.837
650368	TSSC2	tumor suppressing subtransferable candidate 2 (pseudogene)	0.679	1.431
391	RHOG	ras homolog family member G	-0.902	7.721
6240	RRM1	ribonucleotide reductase catalytic subunit M1	-0.576	3.416
6737	TRIM21	tripartite motif containing 21	-0.955	5.348
3043	HBB	hemoglobin subunit beta	1.722	2.306
3045	HBD	hemoglobin subunit delta	2.627	1.525
10346	TRIM22	tripartite motif containing 22	-1.203	5.532
160298	C11orf42	chromosome 11 open reading frame 42	1.344	2.492
6609	SMPD1	sphingomyelin phosphodiesterase 1	-0.511	1.761
322	APBB1	amyloid beta precursor protein binding family B member 1	0.613	3.549
23647	ARFIP2	ADP ribosylation factor interacting protein 2	-0.57	2.685
8642	DCHS1	dachsous cadherin-related 1	0.916	2.779
63875	MRPL17	mitochondrial ribosomal protein L17	-0.958	3.251
387751	GVINP1	GTPase, very large interferon inducible pseudogene 1	-0.758	1.513
7761	ZNF214	zinc finger protein 214	1.038	2.856
283298	OLFML1	olfactomedin like 1	0.693	2.07
51700	CYB5R2	cytochrome b5 reductase 2	-0.975	5.487
341277	OVCH2	ovochymase 2	1.039	2.562
338322	NLRP10	NLR family pyrin domain containing 10	-1.242	1.462
7275	TUB	TUB bipartite transcription factor	0.865	2.89
79608	RIC3	RIC3 acetylcholine receptor chaperone	1.053	2.175
619562	SNORA3A	small nucleolar RNA, H/ACA box 3A	-1.259	2.278
56675	NRIP3	nuclear receptor interacting protein 3	-1.073	3.195
7465	WEE1	WEE1 G2 checkpoint kinase	0.759	1.503
283104	SBF2-AS1	SBF2 antisense RNA 1	0.567	2.139
105369149	LOC105369149	uncharacterized LOC105369149	0.508	1.985
133	ADM	adrenomedullin	-0.673	1.603
272	AMPD3	adenosine monophosphate deaminase 3	-1.244	8.076
10335	IRAG1	inositol 1,4,5-triphosphate receptor associated 1	0.627	2.408
1982	EIF4G2	eukaryotic translation initiation factor 4 gamma 2	-0.681	6.943
374378	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	-0.6	2.259
7003	TEAD1	TEA domain transcription factor 1	0.565	2.047
100506305	LINC00958	long intergenic non-protein coding RNA 958	-1.19	3.307
84280	BTBD10	BTB domain containing 10	-0.544	1.801
22800	RRAS2	RAS related 2	-0.625	2.853
55553	SOX6	SRY-box transcription factor 6	1.461	9.226
113174	SAAL1	serum amyloid A like 1	-0.617	4.097
100528017	SAA2-SAA4	SAA2-SAA4 readthrough	-2.397	3.259
6289	SAA2	serum amyloid A2	-2.647	4.686
2965	GTF2H1	general transcription factor IIH subunit 1	-0.596	2.025
105376577	LOC105376577	uncharacterized LOC105376577	0.613	1.398
3939	LDHA	lactate dehydrogenase A	-0.938	4.615
144108	SPTY2D1	SPT2 chromatin protein domain containing 1	-0.596	2.566
144110	TMEM86A	transmembrane protein 86A	-1.804	4.041
283284	IGSF22	immunoglobulin superfamily member 22	-0.911	1.738
84867	PTPN5	protein tyrosine phosphatase non-receptor type 5	1.188	2.924
117194	MRGPRX2	MAS related GPR family member X2	0.924	2.141
54503	ZDHHC13	zinc finger DHHC-type palmitoyltransferase 13	-0.827	3.024
100874014	NAV2-AS2	NAV2 antisense RNA 2	0.908	1.535
10553	HTATIP2	HIV-1 Tat interactive protein 2	-0.625	1.464
10196	PRMT3	protein arginine methyltransferase 3	-0.851	5.179
203859	ANO5	anoctamin 5	1.45	2.866
2620	GAS2	growth arrest specific 2	1.654	4.87
258010	SVIP	small VCP interacting protein	0.829	2.121
338645	LUZP2	leucine zipper protein 2	-2.264	6.515
387758	FIBIN	fin bud initiation factor homolog	0.992	4.29
497258	BDNF-AS	BDNF antisense RNA	0.887	4.389
81930	KIF18A	kinesin family member 18A	-1.266	4.718
744	MPPED2	metallophosphoesterase domain containing 2	0.995	2.245
5080	PAX6	paired box 6	0.876	2.48
79056	PRRG4	proline rich and Gla domain 4	-1.103	8.15
283267	LINC00294	long intergenic non-protein coding RNA 294	0.735	3.223
25758	KIAA1549L	KIAA1549 like	1.303	5.453
105376617	LOC105376617	uncharacterized LOC105376617	0.938	2.065
102723539	LOC102723539		1.098	3.287
26298	EHF	ETS homologous factor	-1.661	12.409
25891	PAMR1	peptidase domain containing associated with muscle regeneration 1	1.343	4.992
57689	LRRC4C	leucine rich repeat containing 4C	1.034	1.981
51144	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12	-0.629	1.661
729799	SEC14L1P1	SEC14 like 1 pseudogene 1	0.72	1.303
84680	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	1.172	2.44
90139	TSPAN18	tetraspanin 18	0.691	3.263
9537	TP53I11	tumor protein p53 inducible protein 11	0.59	2.98
56981	PRDM11	PR/SET domain 11	0.656	2.942
8534	CHST1	carbohydrate sulfotransferase 1	-1.18	2.846
1408	CRY2	cryptochrome circadian regulator 2	1.115	8.017
9479	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	1.04	4.416
90993	CREB3L1	cAMP responsive element binding protein 3 like 1	0.85	1.999
1132	CHRM4	cholinergic receptor muscarinic 4	2.517	10.678
283254	HARBI1	harbinger transposase derived 1	-0.646	3.438
100507401	LRP4-AS1	LRP4 antisense RNA 1	1.339	5.199
4038	LRP4	LDL receptor related protein 4	1.199	5.533
107984329	LOC107984329		0.538	2.638
5702	PSMC3	proteasome 26S subunit, ATPase 3	-0.614	2.026
399888	FAM180B	family with sequence similarity 180 member B	1.302	5.504
114900	C1QTNF4	C1q and TNF related 4	0.946	2.19
2346	FOLH1	folate hydrolase 1	-0.869	1.766
219527	LRRC55	leucine rich repeat containing 55	-3.148	10.476
187	APLNR	apelin receptor	0.712	1.865
8501	SLC43A1	solute carrier family 43 member 1	0.695	3.121
9246	UBE2L6	ubiquitin conjugating enzyme E2 L6	-1.781	13.576
219539	YPEL4	yippee like 4	0.981	3.383
643376	BTBD18	BTB domain containing 18	1.277	2.563
92292	GLYATL1	glycine-N-acyltransferase like 1	1.176	1.676
374393	FAM111B	FAM111 trypsin like peptidase B	-1.354	9.557
23220	DTX4	deltex E3 ubiquitin ligase 4	1.056	1.953
6809	STX3	syntaxin 3	-0.529	4.453
54948	MRPL16	mitochondrial ribosomal protein L16	-0.589	2.704
6947	TCN1	transcobalamin 1	-7.307	44.779
2206	MS4A2	membrane spanning 4-domains A2	0.541	1.368
923	CD6	CD6 molecule	-0.98	2.439
921	CD5	CD5 molecule	-1.09	2.969
54949	SDHAF2	succinate dehydrogenase complex assembly factor 2	-0.547	1.777
220004	PPP1R32	protein phosphatase 1 regulatory subunit 32	1.034	1.852
390205	LRRC10B	leucine rich repeat containing 10B	1.93	3.914
9066	SYT7	synaptotagmin 7	0.965	1.408
747	DAGLA	diacylglycerol lipase alpha	0.997	4.201
2237	FEN1	flap structure-specific endonuclease 1	-0.603	1.625
107984334	LOC107984334	uncharacterized LOC107984334	0.71	1.75
4246	SCGB2A1	secretoglobin family 2A member 1	1.926	2.494
10647	SCGB1D2	secretoglobin family 1D member 2	1.899	1.715
4250	SCGB2A2	secretoglobin family 2A member 2	1.687	1.301
79026	AHNAK	AHNAK nucleoprotein	0.921	6.405
26229	B3GAT3	beta-1,3-glucuronyltransferase 3	0.589	2.806
79081	LBHD1	LBH domain containing 1	-0.992	3.243
102288414	C11orf98	chromosome 11 open reading frame 98	-1.132	3.803
5436	POLR2G	RNA polymerase II subunit G	-0.641	1.323
23642	SNHG1	small nucleolar RNA host gene 1	-0.507	1.309
9303	SNORD25	small nucleolar RNA, C/D box 25	-1.134	2.29
1128	CHRM1	cholinergic receptor muscarinic 1	1.876	4.871
105369333	LOC105369333	uncharacterized LOC105369333	1.45	3.69
117245	PLAAT5	phospholipase A and acyltransferase 5	0.902	1.835
65998	ZFTA	zinc finger translocation associated	0.913	6.441
283248	RCOR2	REST corepressor 2	0.855	2.602
55611	OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1	-0.709	5.091
28992	MACROD1	mono-ADP ribosylhydrolase 1	0.742	5.219
101927673	LOC101927673		1.019	1.457
23769	FLRT1	fibronectin leucine rich transmembrane protein 1	1.724	5.811
10963	STIP1	stress induced phosphoprotein 1	-0.597	3.697
83706	FERMT3	FERM domain containing kindlin 3	-0.71	3.145
84304	NUDT22	nudix hydrolase 22	-0.72	7.062
105369340	PPP1R14B-AS1	PPP1R14B antisense RNA 1	-1.822	9.148
51504	TRMT112	tRNA methyltransferase activator subunit 11-2	-0.752	1.935
8986	RPS6KA4	ribosomal protein S6 kinase A4	-0.988	4.754
9379	NRXN2	neurexin 2	0.683	2.595
5837	PYGM	glycogen phosphorylase, muscle associated	0.909	2.291
55561	CDC42BPG	CDC42 binding protein kinase gamma	0.585	1.388
10938	EHD1	EH domain containing 1	-0.501	1.895
113218486	MIR10392	microRNA 10392	-0.841	1.728
116071	BATF2	basic leucine zipper ATF-like transcription factor 2	-3.463	11.346
113130	CDCA5	cell division cycle associated 5	-1.231	7.271
741	ZNHIT2	zinc finger HIT-type containing 2	-0.65	3.366
823	CAPN1	calpain 1	-0.578	2.504
23649	POLA2	DNA polymerase alpha 2, accessory subunit	-0.634	6.534
83786	FRMD8	FERM domain containing 8	-0.995	11.599
107984338	LOC107984338		0.979	1.453
283131	NEAT1	nuclear paraspeckle assembly transcript 1	0.954	1.31
4054	LTBP3	latent transforming growth factor beta binding protein 3	0.513	2.019
10534	ZNRD2	zinc ribbon domain containing 2	-0.85	4.229
5017	OVOL1	ovo like transcriptional repressor 1	-0.975	2.917
254122	SNX32	sorting nexin 32	-0.658	4.823
1072	CFL1	cofilin 1	-0.694	4.345
1521	CTSW	cathepsin W	-0.865	1.968
8061	FOSL1	FOS like 1, AP-1 transcription factor subunit	-2.66	4.948
117144	CATSPER1	cation channel sperm associated 1	-0.791	1.415
10897	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein	-0.607	1.818
25855	BRMS1	BRMS1 transcriptional repressor and anoikis regulator	-0.567	4.836
11041	B4GAT1	beta-1,4-glucuronyltransferase 1	0.527	3.491
3177	SLC29A2	solute carrier family 29 member 2	0.71	1.458
65003	MRPL11	mitochondrial ribosomal protein L11	-0.74	1.523
582	BBS1	Bardet-Biedl syndrome 1	0.716	2.638
8722	CTSF	cathepsin F	0.893	10.056
6712	SPTBN2	spectrin beta, non-erythrocytic 2	0.549	1.468
79703	C11orf80	chromosome 11 open reading frame 80	0.57	3.658
29984	RHOD	ras homolog family member D	-0.857	1.845
5499	PPP1CA	protein phosphatase 1 catalytic subunit alpha	-0.865	2.916
57571	CARNS1	carnosine synthase 1	0.813	2.095
6199	RPS6KB2	ribosomal protein S6 kinase B2	-1.187	4.989
5790	PTPRCAP	protein tyrosine phosphatase receptor type C associated protein	-1.239	4.573
9600	PITPNM1	phosphatidylinositol transfer protein membrane associated 1	-0.586	1.866
10263	CDK2AP2	cyclin dependent kinase 2 associated protein 2	-0.594	3.286
2950	GSTP1	glutathione S-transferase pi 1	-1.087	6.735
254552	NUDT8	nudix hydrolase 8	-0.873	2.775
1119	CHKA	choline kinase alpha	0.839	2.357
4041	LRP5	LDL receptor related protein 5	0.787	2.076
105369364	LINC02701	long intergenic non-protein coding RNA 2701	0.936	1.488
26579	MYEOV	myeloma overexpressed	1.55	2.811
105369370	LOC105369370	uncharacterized LOC105369370	1.72	2.213
105379407	LINC02747	long intergenic non-protein coding RNA 2747	3.079	10.676
595	CCND1	cyclin D1	1.319	10.521
55107	ANO1	anoctamin 1	0.889	2.615
105369372	LOC105369372		0.903	1.328
22941	SHANK2	SH3 and multiple ankyrin repeat domains 2	1.471	2.288
4926	NUMA1	nuclear mitotic apparatus protein 1	0.813	3.28
100128494	LOC100128494	uncharacterized LOC100128494	0.735	2.528
2348	FOLR1	folate receptor alpha	1.535	3.389
3636	INPPL1	inositol polyphosphate phosphatase like 1	0.729	1.796
5138	PDE2A	phosphodiesterase 2A	0.529	1.518
10809	STARD10	StAR related lipid transfer domain containing 10	-0.518	1.561
105369380	LOC105369380		1.065	3.597
107984421	LOC107984421	uncharacterized LOC107984421	1.363	2.714
89849	ATG16L2	autophagy related 16 like 2	0.918	2.205
5029	P2RY2	purinergic receptor P2Y2	-0.751	2.306
5031	P2RY6	pyrimidinergic receptor P2Y6	-0.895	2.139
9828	ARHGEF17	Rho guanine nucleotide exchange factor 17	0.65	1.527
84957	RELT	RELT TNF receptor	-0.962	3.688
58473	PLEKHB1	pleckstrin homology domain containing B1	1.434	4.931
51287	COA4	cytochrome c oxidase assembly factor 4 homolog	-0.701	2.432
283212	KLHL35	kelch like family member 35	0.537	1.571
81544	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	0.682	1.49
4135	MAP6	microtubule associated protein 6	1.748	4.469
80168	MOGAT2	monoacylglycerol O-acyltransferase 2	3.308	3.801
100506127	GVQW3	GVQW motif containing 3	0.952	1.76
282679	AQP11	aquaporin 11	1.027	1.927
51773	RSF1	remodeling and spacing factor 1	0.616	3.797
28971	AAMDC	adipogenesis associated Mth938 domain containing	0.962	4.064
26011	TENM4	teneurin transmembrane protein 4	0.73	1.308
220042	DDIAS	DNA damage induced apoptosis suppressor	-1.468	9.031
1740	DLG2	discs large MAGUK scaffold protein 2	0.738	2.969
84233	TMEM126A	transmembrane protein 126A	-0.799	1.675
58487	CREBZF	CREB/ATF bZIP transcription factor	0.643	1.743
107984427	ME3-DT	ME3 divergent transcript	0.769	1.387
11098	PRSS23	serine protease 23	-0.596	2.456
107984428	LOC107984428	uncharacterized LOC107984428	0.865	1.802
8322	FZD4	frizzled class receptor 4	0.907	2.497
23682	RAB38	RAB38, member RAS oncogene family	-1.296	4.028
1075	CTSC	cathepsin C	-1.139	6.415
10003	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	1.079	2.242
26973	CHORDC1	cysteine and histidine rich domain containing 1	-0.666	2.157
120114	FAT3	FAT atypical cadherin 3	1.138	1.893
677822	SNORA40	small nucleolar RNA, H/ACA box 40	-0.672	1.846
341208	HEPHL1	hephaestin like 1	-6.249	15.949
24145	PANX1	pannexin 1	-1.067	5.515
143686	SESN3	sestrin 3	0.529	2.16
84441	MAML2	mastermind like transcriptional coactivator 2	1.056	6.199
8690	JRKL	JRK like	0.668	2.183
5241	PGR	progesterone receptor	0.984	2.886
57562	CEP126	centrosomal protein 126	0.989	5.086
330	BIRC3	baculoviral IAP repeat containing 3	-0.872	2.011
114908	TMEM123	transmembrane protein 123	-0.655	3.425
4312	MMP1	matrix metallopeptidase 1	-3.669	4.508
4321	MMP12	matrix metallopeptidase 12	-3.596	3.669
84259	DCUN1D5	defective in cullin neddylation 1 domain containing 5	-0.889	3.709
79659	DYNC2H1	dynein cytoplasmic 2 heavy chain 1	0.681	2.865
80310	PDGFD	platelet derived growth factor D	0.749	1.479
837	CASP4	caspase 4	-1.135	3.991
838	CASP5	caspase 5	-4.674	11.735
834	CASP1	caspase 1	-0.995	4.592
114769	CARD16	caspase recruitment domain family member 16	-0.533	1.313
440067	CASP1P2	caspase 1 pseudogene 2	-1.206	2.572
440068	CARD17P	caspase recruitment domain family member 17, pseudogene	-1.806	4.823
2893	GRIA4	glutamate ionotropic receptor AMPA type subunit 4	1.529	3.018
105369477	LOC105369477	uncharacterized LOC105369477	1.249	2.934
112267909	LOC112267909	uncharacterized LOC112267909	-0.747	1.342
23086	EXPH5	exophilin 5	0.551	2.295
85463	ZC3H12C	zinc finger CCCH-type containing 12C	-0.723	5.339
57569	ARHGAP20	Rho GTPase activating protein 20	0.624	1.459
399948	COLCA1	colorectal cancer associated 1	0.849	1.704
23235	SIK2	salt inducible kinase 2	0.672	2.684
1410	CRYAB	crystallin alpha B	0.853	5.284
100528019	HSPB2-C11orf52	HSPB2-C11orf52 readthrough (NMD candidate)	0.633	1.354
